,Round,Date,Home,Away,Score,GD,GF,GA,GFH,GFA,GAH,GAA,Round_,Home_,Away_,HomeScore,AwayScore
0,Omgång 1,2019-04-13,Kungsbacka KUN,Kopparbergs / Göteborg KOP,0-3,22,39,17,7,20,28,10,0,4,2,0,3
1,Omgång 1,2019-04-14,Eskilstuna ESK,Rosengård FCR,0-1,34,46,12,13,15,6,5,0,1,8,0,1
2,Omgång 1,2019-04-14,Kristianstad KRI,LB07 LIM,5-1,-24,16,40,24,6,9,22,0,3,5,5,1
3,Omgång 1,2019-04-14,Piteå PIT,Djurgården DIF,1-0,-26,18,44,14,10,8,23,0,7,0,1,0
4,Omgång 1,2019-04-14,Örebro ÖRE,Vittsjö VIT,1-0,16,28,12,9,13,12,8,0,11,9,1,0
5,Omgång 1,2019-04-17,Linköping LFC,Växjö VÄX,5-0,-15,21,36,18,7,4,24,0,6,10,5,0
6,Omgång 2,2019-04-21,Kopparbergs / Göteborg KOP,Eskilstuna ESK,1-1,22,39,17,19,14,7,12,11,2,1,1,1
7,Omgång 2,2019-04-21,Rosengård FCR,Kristianstad KRI,5-1,34,46,12,31,14,7,13,11,8,3,5,1
8,Omgång 2,2019-04-22,Växjö VÄX,Piteå PIT,0-0,-15,21,36,14,9,12,8,11,10,7,0,0
9,Omgång 2,2019-04-22,Vittsjö VIT,Kungsbacka KUN,3-0,16,28,12,15,6,4,33,11,9,4,3,0
10,Omgång 2,2019-04-22,LB07 LIM,Örebro ÖRE,1-3,-24,16,40,10,12,18,12,11,5,11,1,3
11,Omgång 2,2019-04-22,Djurgården DIF,Linköping LFC,2-3,-26,18,44,8,10,21,12,11,0,6,2,3
12,Omgång 3,2019-04-27,Örebro ÖRE,Rosengård FCR,0-4,34,46,12,9,15,12,5,15,11,8,0,4
13,Omgång 3,2019-04-27,Kungsbacka KUN,Djurgården DIF,1-2,-26,18,44,7,10,28,23,15,4,0,1,2
14,Omgång 3,2019-04-28,Vittsjö VIT,Linköping LFC,2-0,16,28,12,15,10,4,12,15,9,6,2,0
15,Omgång 3,2019-04-28,Kristianstad KRI,Kopparbergs / Göteborg KOP,2-2,22,39,17,24,20,9,10,15,3,2,2,2
16,Omgång 3,2019-04-28,Eskilstuna ESK,Växjö VÄX,0-1,-15,21,36,13,7,6,24,15,1,10,0,1
17,Omgång 4,2019-05-02,Växjö VÄX,Vittsjö VIT,1-1,16,28,12,14,13,12,8,16,10,9,1,1
18,Omgång 4,2019-05-05,LB07 LIM,Eskilstuna ESK,0-1,-24,16,40,10,14,18,12,16,5,1,0,1
19,Omgång 4,2019-05-05,Kungsbacka KUN,Piteå PIT,1-5,7,23,16,7,9,28,8,16,4,7,1,5
20,Omgång 4,2019-05-05,Djurgården DIF,Kristianstad KRI,0-2,-26,18,44,8,14,21,13,16,0,3,0,2
21,Omgång 4,2019-05-05,Rosengård FCR,Kopparbergs / Göteborg KOP,2-2,34,46,12,31,20,7,10,16,8,2,2,2
22,Omgång 4,2019-05-06,Linköping LFC,Örebro ÖRE,4-1,12,28,16,18,12,4,12,16,6,11,4,1
23,Omgång 5,2019-05-11,Vittsjö VIT,Eskilstuna ESK,1-0,16,28,12,15,14,4,12,17,9,1,1,0
24,Omgång 5,2019-05-11,Örebro ÖRE,Växjö VÄX,1-0,-15,21,36,9,7,12,24,17,11,10,1,0
25,Omgång 5,2019-05-11,Linköping LFC,Kungsbacka KUN,2-0,12,28,16,18,6,4,33,17,6,4,2,0
26,Omgång 5,2019-05-11,Kopparbergs / Göteborg KOP,Djurgården DIF,3-1,-26,18,44,19,10,7,23,17,2,0,3,1
27,Omgång 5,2019-05-11,LB07 LIM,Rosengård FCR,3-2,-24,16,40,10,15,18,5,17,5,8,3,2
28,Omgång 5,2019-05-12,Piteå PIT,Kristianstad KRI,2-1,7,23,16,14,14,8,13,17,7,3,2,1
29,Omgång 6,2019-05-15,Växjö VÄX,Kopparbergs / Göteborg KOP,0-2,-15,21,36,14,20,12,10,18,10,2,0,2
30,Omgång 6,2019-05-15,Kungsbacka KUN,LB07 LIM,2-2,-24,16,40,7,6,28,22,18,4,5,2,2
31,Omgång 6,2019-05-15,Kristianstad KRI,Linköping LFC,1-1,12,28,16,24,10,9,12,18,3,6,1,1
32,Omgång 6,2019-05-15,Djurgården DIF,Vittsjö VIT,1-3,-26,18,44,8,13,21,8,18,0,9,1,3
33,Omgång 6,2019-05-15,Rosengård FCR,Piteå PIT,2-0,34,46,12,31,9,7,8,18,8,7,2,0
34,Omgång 6,2019-05-15,Eskilstuna ESK,Örebro ÖRE,0-0,-3,21,24,13,12,6,12,18,1,11,0,0
35,Omgång 7,2019-05-19,Vittsjö VIT,Piteå PIT,0-0,16,28,12,15,9,4,8,19,9,7,0,0
